Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
ASAH1,yes,no,0.262662439,0.115,108.4326149,0
HIVEP3,yes,no,0.262919636,0.224,58.76691313,0
VAMP4,yes,no,0.263668002,0.369,154.9312166,0
ZC3H7B,yes,no,0.264393836,0.226,44.16109944,0
CHPF,yes,no,0.264869099,0.0716,19.55335288,0
EID1,yes,no,0.265619678,0.12,37.39368076,0
BRD9,yes,no,0.266169809,0.0889,6.046302277,0
CACNG4,yes,no,0.267110503,0.234,49.78973452,0
DAGLA,yes,no,0.267439909,0.292,65.46472759,0
TCF25,yes,no,0.268707752,0.0905,12.73062591,0
EMCN,yes,no,0.268944113,0.0731,27.21650003,0
PDE2A,yes,no,0.270281562,0.0732,32.6385766,0
STAU2,yes,no,0.271229554,0.161,130.1233792,0
DOK6,yes,no,0.271565189,0.1008,135.3457224,0
ETFDH,yes,no,0.271642871,0.075,14.27677153,0
ID2,yes,no,0.272482456,0.125,90.74826517,0
CSTF1,yes,no,0.273036348,0.126,108.5466899,0
